@relation dataObj

@attribute Earliest_PLV_Ch numeric
@attribute Duration_PLV_Pos_ch numeric
@attribute Peak_PLV_ch numeric
@attribute Average_PLV_ch numeric
@attribute Class_resected_channel numeric

@data
0,0,0.125213,0.053662,1
0,0,0.084404,0.036427,1
0,0,0.064874,0.024262,1
0,0,0.048884,0.021137,1
0,0,0.053496,0.02784,1
0,0,0.065392,0.035439,1
0,0,0.067498,0.033731,0
0,0,0.060881,0.029823,0
0,0,0.101893,0.055417,1
0,0,0.066599,0.033694,1
0,0,0.073005,0.032402,1
0,0,0.064327,0.031744,1
0,0,0.095977,0.042812,0
0,0,0.099484,0.039683,0
0,0,0.079963,0.038643,0
0,0,0.062097,0.028056,0
0,0,0.064536,0.025098,1
0,0,0.060819,0.024245,1
0,0,0.075131,0.037845,1
0,0,0.061458,0.023905,1
0,0,0.06186,0.029981,0
0,0,0.073369,0.033274,0
0,0,0.069942,0.030813,0
0,0,0.067171,0.03449,0
0,0,0.058511,0.031867,1
0,0,0.092128,0.039736,1
0,0,0.076741,0.038671,1
0,0,0.063113,0.036925,0
0,0,0.063657,0.026838,0
0,0,0.071047,0.03292,0
0,0,0.087987,0.044483,0
0,0,0.096256,0.035108,0
0,0,0.068352,0.026656,0
0,0,0.062048,0.030456,0
0,0,0.069809,0.031738,0
0,0,0.071934,0.032123,0
0,0,0.080955,0.043601,0
0,0,0.07975,0.040894,0
0,0,0.094681,0.039458,0
0,0,0.079153,0.032338,0
0,0,0.056497,0.028575,0
0,0,0.058283,0.02096,0
0,0,0.084717,0.035404,0
0,0,0.075623,0.035524,0
0,0,0.084664,0.039988,0
0,0,0.060962,0.033924,0
0,0,0.067286,0.040365,0
0,0,0.06468,0.023214,0
0,0,0.086975,0.03578,0
0,0,0.100452,0.038293,0
0,0,0.124012,0.047334,0
0,0,0.139466,0.050782,0
0,0,0.072093,0.026329,0
0,0,0.058642,0.026072,0
0,0,0.0609,0.025275,0
0,0,0.054789,0.026926,0
0,0,0.077739,0.036617,0
0,0,0.072138,0.030123,0
0,0,0.070835,0.036113,0
0,0,0.064205,0.030557,0
0,0,0.109268,0.042895,0
0,0,0.122145,0.04785,0
0,0,0.072806,0.0474,0
0,0,0.091653,0.047003,0
0,0,0.090957,0.048947,0
0,0,0.082279,0.050605,0
0,0,0.063325,0.028372,0
0,0,0.067204,0.032871,0
0,0,0.080714,0.036069,0
0,0,0.063301,0.033065,0
0,0,0.060975,0.031336,0
0,0,0.109204,0.049259,0
0,0,0.094396,0.048038,0
0,0,0.100465,0.050505,0
0,0,0.059984,0.026331,0
0,0,0.096486,0.03693,0
0,0,0.076267,0.046709,0
0,0,0.056664,0.035137,0
0,0,0.057419,0.039211,1
0,0,0.082199,0.045616,1
0,0,0.126279,0.033853,1
0,0,0.071298,0.038929,1
0,0,0.131718,0.059192,1
1,7,0.158473,0.067925,1
1,3,0.173449,0.076501,1
0,0,0.14032,0.05948,1
0,0,0.109548,0.051372,0
0,0,0.067371,0.034593,0
0,0,0.065263,0.038545,0
0,0,0.090655,0.032526,0
0,0,0.076041,0.035812,0
0,0,0.095775,0.038184,0
0,0,0.058243,0.027708,0
0,0,0.083734,0.041278,0
0,0,0.101989,0.037336,0
0,0,0.06349,0.035155,0
0,0,0.062433,0.032629,0
0,0,0.089081,0.045189,0
0,0,0.086389,0.028645,0
0,0,0.086405,0.037164,0
0,0,0.103196,0.036489,0
0,0,0.055926,0.029831,0
0,0,0.088651,0.043156,0
0,0,0.077306,0.036274,0
0,0,0.067547,0.035,0
0,0,0.076078,0.035454,0
0,0,0.068901,0.029779,0
0,0,0.10271,0.043574,0
0,0,0.062185,0.0374,0
0,0,0.060583,0.03088,0
0,0,0.080151,0.035649,0
0,0,0.058941,0.032382,0
0,0,0.088839,0.043003,0
0,0,0.077967,0.037309,0
0,0,0.098077,0.044053,0
0,0,0.078454,0.033469,0
0,0,0.068448,0.039164,0
0,0,0.091031,0.037039,0
0,0,0.074145,0.031376,0
0,0,0.061527,0.030675,0
0,0,0.055242,0.02774,0
0,0,0.088564,0.045732,0
0,0,0.079043,0.033599,0
0,0,0.080767,0.029662,0
0,0,0.063517,0.035066,0
0,0,0.078694,0.043518,0
0,0,0.084619,0.03879,0
0,0,0.078567,0.043479,0
0,0,0.086629,0.039286,0
0,0,0.077628,0.038338,0
0,0,0.077187,0.032285,0
0,0,0.094078,0.032398,0
0,0,0.076319,0.03319,0
0,0,0.051489,0.026912,0
0,0,0.076472,0.036001,0
0,0,0.094909,0.034359,0
0,0,0.077965,0.035975,0
0,0,0.073986,0.034392,0
0,0,0.059775,0.029561,0
0,0,0.062743,0.030002,0
0,0,0.068587,0.028453,0
0,0,0.064755,0.029801,0
0,0,0.077405,0.032814,0
0,0,0.094533,0.042019,0
0,0,0.058533,0.036565,0
0,0,0.050902,0.025808,0
0,0,0.071613,0.032574,1
0,0,0.089649,0.037168,1
1,1,0.150612,0.046522,1
0,0,0.121284,0.04484,1
1,1,0.129128,0.036272,1
0,0,0.08322,0.046824,1
0,0,0.088642,0.041084,0
0,0,0.088643,0.04268,0
0,0,0.067983,0.031855,0
0,0,0.071215,0.038063,0
0,0,0.100455,0.037134,0
0,0,0.071435,0.039497,0
0,0,0.077785,0.043937,0
0,0,0.085626,0.034696,0
0,0,0.081542,0.024823,0
0,0,0.10094,0.037684,1
0,0,0.126737,0.038766,1
0,0,0.110442,0.041933,1
0,0,0.070608,0.034063,1
0,0,0.062787,0.036303,1
0,0,0.110126,0.04042,1
0,0,0.106763,0.036774,0
0,0,0.104407,0.04512,1
0,0,0.08189,0.036116,0
0,0,0.069134,0.028367,0
0,0,0.07957,0.03107,0
0,0,0.074176,0.027994,0
0,0,0.075872,0.040612,0
0,0,0.08604,0.032275,0
0,0,0.081907,0.041904,0
1,1,0.156155,0.041613,1
1,1,0.178286,0.048391,1
1,1,0.12192,0.043605,1
0,0,0.065053,0.02851,1
0,0,0.099091,0.039451,1
0,0,0.067952,0.028518,1
0,0,0.127998,0.039867,1
0,0,0.103249,0.049524,1
0,0,0.105664,0.040731,0
0,0,0.078738,0.040077,0
0,0,0.078679,0.041254,0
0,0,0.073571,0.039367,0
0,0,0.057699,0.025073,0
0,0,0.054559,0.032659,0
0,0,0.06918,0.033071,0
0,0,0.056095,0.031786,1
0,0,0.070986,0.033168,1
0,0,0.060554,0.030528,1
0,0,0.091426,0.04194,1
0,0,0.09255,0.042193,1
0,0,0.100058,0.03915,0
0,0,0.084754,0.039677,1
0,0,0.072903,0.038633,0
0,0,0.080146,0.03963,0
0,0,0.078886,0.04128,0
0,0,0.062585,0.031774,0
0,0,0.069044,0.028621,0
0,0,0.071276,0.028502,0
0,0,0.068922,0.02602,0
0,0,0.086973,0.040876,0
0,0,0.070865,0.035665,0
0,0,0.07225,0.030643,0
0,0,0.057268,0.027339,0
0,0,0.076998,0.041629,0
0,0,0.083,0.036909,0
0,0,0.073249,0.039105,0
0,0,0.04864,0.023594,0
0,0,0.057401,0.028742,0
0,0,0.046358,0.024423,0
0,0,0.064942,0.023802,0
0,0,0.067927,0.029158,0
0,0,0.071936,0.027551,0
0,0,0.07148,0.028428,0
0,0,0.093526,0.043305,0
0,0,0.068302,0.033657,0
0,0,0.056646,0.028724,0
0,0,0.062825,0.034801,0
0,0,0.072066,0.037947,0
0,0,0.07011,0.028949,0
0,0,0.099305,0.036097,0
0,0,0.083786,0.033722,0
0,0,0.086959,0.039325,0
0,0,0.085682,0.035834,0
0,0,0.079443,0.029081,0
0,0,0.069702,0.024187,0
0,0,0.124132,0.037652,0
0,0,0.081243,0.034427,0
0,0,0.102688,0.051649,0
0,0,0.072516,0.039458,0
0,0,0.080528,0.033538,0
0,0,0.084197,0.03432,1
0,0,0.074073,0.034854,0
0,0,0.092121,0.048139,0
0,0,0.076969,0.041907,0
0,0,0.116649,0.063294,0
0,0,0.08566,0.047101,0
0,0,0.057537,0.02756,0
0,0,0.058172,0.038905,0
0,0,0.067785,0.035353,0
0,0,0.094244,0.044251,0
0,0,0.086808,0.042139,0
0,0,0.096252,0.038292,0
0,0,0.055153,0.035845,0
0,0,0.071205,0.027001,0
0,0,0.051131,0.03164,0
0,0,0.050554,0.022557,0
0,0,0.054863,0.028543,0
0,0,0.082975,0.043172,0
0,0,0.041225,0.023535,0
0,0,0.069035,0.033155,0
0,0,0.049204,0.025016,0
0,0,0.085758,0.038659,0
0,0,0.083502,0.038268,0
0,0,0.090312,0.044012,0
0,0,0.061905,0.034944,0
0,0,0.069839,0.02869,0
0,0,0.078254,0.030865,0
0,0,0.083944,0.025616,0
0,0,0.076065,0.036285,0
0,0,0.075427,0.036806,0
0,0,0.061986,0.037217,0
0,0,0.053764,0.035023,0
0,0,0.07207,0.050663,0
0,0,0.058668,0.034394,0
0,0,0.069224,0.031737,0
0,0,0.051582,0.026289,0
0,0,0.069861,0.032918,0
0,0,0.082037,0.051674,0
0,0,0.08398,0.035316,0
0,0,0.052407,0.029412,0
0,0,0.075339,0.050303,0
0,0,0.082633,0.048186,0
0,0,0.078048,0.047702,0
0,0,0.056739,0.031341,0
0,0,0.070065,0.033163,0
0,0,0.053633,0.035785,0
0,0,0.053867,0.031269,0
0,0,0.057971,0.027246,0
0,0,0.047998,0.025337,0
0,0,0.042027,0.024251,0
0,0,0.105833,0.048645,0
0,0,0.063966,0.034892,0
0,0,0.079422,0.046279,0
0,0,0.051457,0.035777,0
0,0,0.058339,0.028064,0
0,0,0.077835,0.028122,0
0,0,0.133231,0.059509,0
0,0,0.079337,0.033632,0
0,0,0.070199,0.037832,0
0,0,0.106426,0.050325,0
0,0,0.072032,0.046009,0
0,0,0.112237,0.064898,1
0,0,0.122612,0.049839,1
0,0,0.126596,0.061726,1
1,4,0.212853,0.091094,1
0,0,0.134427,0.057272,1
0,0,0.082595,0.046133,1
0,0,0.091757,0.044524,0
0,0,0.066086,0.034983,0
0,0,0.092282,0.044245,0
0,0,0.075332,0.041191,0
0,0,0.093304,0.043226,0
0,0,0.091745,0.048168,0
0,0,0.067312,0.041047,0
0,0,0.072578,0.040812,0
0,0,0.059806,0.04108,0
1,2,0.162752,0.063075,1
1,4,0.174326,0.068374,1
1,3,0.156825,0.062225,1
0,0,0.051417,0.027894,1
0,0,0.082028,0.047543,1
1,1,0.148515,0.042524,1
0,0,0.103982,0.044566,0
0,0,0.04759,0.02494,1
0,0,0.061604,0.04309,0
0,0,0.068451,0.036345,0
0,0,0.051034,0.022967,0
0,0,0.073555,0.035812,0
0,0,0.072721,0.035902,0
0,0,0.071823,0.032059,0
0,0,0.070779,0.045272,0
1,1,0.119784,0.047635,1
0,0,0.097707,0.049048,1
0,0,0.067651,0.0393,1
1,1,0.138891,0.068673,1
0,0,0.133421,0.067132,1
0,0,0.100625,0.061783,1
1,4,0.143248,0.071577,1
0,0,0.095577,0.044347,1
0,0,0.13497,0.058771,0
0,0,0.084635,0.047816,0
0,0,0.131505,0.046744,0
0,0,0.105599,0.066484,0
0,0,0.071999,0.047637,0
0,0,0.060285,0.033825,0
